recId,driverId,frame,precedingId,precedingXVelocity,v,delta_v,s,idm_ga,idm_mle,idm_de,s_star_ga,s_star_mle,s_star_de,XAcceleration
1,11,124,10,22.72,23.91,1.19,9.97,-1.0789,-1.0789,-1.0789,34.0742,34.0742,34.0742,0.2
1,11,125,10,22.71,23.92,1.21,9.93,-1.1128,-1.1128,-1.1128,34.4259,34.4259,34.4259,0.22
1,11,126,10,22.7,23.93,1.23,9.88,-1.1499,-1.1499,-1.1499,34.7779,34.7779,34.7779,0.23
1,11,127,10,22.69,23.94,1.25,9.83,-1.1881,-1.1881,-1.1881,35.1302,35.1302,35.1302,0.25
1,11,128,10,22.68,23.95,1.27,9.78,-1.2272,-1.2272,-1.2272,35.4827,35.4827,35.4827,0.27
1,11,129,10,22.67,23.96,1.29,9.74,-1.2646,-1.2646,-1.2646,35.8355,35.8355,35.8355,0.28
1,11,130,10,22.66,23.97,1.31,9.69,-1.3057,-1.3057,-1.3057,36.1886,36.1886,36.1886,0.3
1,11,131,10,22.65,23.98,1.33,9.63,-1.3509,-1.3509,-1.3509,36.542,36.542,36.542,0.32
1,11,132,10,22.63,23.99,1.36,9.58,-1.4079,-1.4079,-1.4079,37.0653,37.0653,37.0653,0.33
1,11,133,10,22.62,24.01,1.39,9.53,-1.468,-1.468,-1.468,37.6039,37.6039,37.6039,0.35
1,11,134,10,22.61,24.02,1.41,9.48,-1.5143,-1.5143,-1.5143,37.9584,37.9584,37.9584,0.37
1,11,135,10,22.6,24.03,1.43,9.43,-1.5618,-1.5618,-1.5618,38.3132,38.3132,38.3132,0.39
1,11,136,10,22.59,24.05,1.46,9.39,-1.6232,-1.6232,-1.6232,38.8536,38.8536,38.8536,0.4
1,11,137,10,22.58,24.07,1.49,9.34,-1.6902,-1.6902,-1.6902,39.3949,39.3949,39.3949,0.42
1,11,138,10,22.57,24.08,1.51,9.29,-1.7421,-1.7421,-1.7421,39.751,39.751,39.751,0.44
1,11,139,10,22.56,24.1,1.54,9.25,-1.8087,-1.8087,-1.8087,40.2936,40.2936,40.2936,0.45
1,11,140,10,22.55,24.12,1.57,9.19,-1.8858,-1.8858,-1.8858,40.837,40.837,40.837,0.47
1,11,141,10,22.54,24.14,1.6,9.12,-1.9701,-1.9701,-1.9701,41.3813,41.3813,41.3813,0.48
1,11,142,10,22.53,24.16,1.63,9.04,-2.0623,-2.0623,-2.0623,41.9264,41.9264,41.9264,0.5
1,11,143,10,22.52,24.18,1.66,8.96,-2.1583,-2.1583,-2.1583,42.4724,42.4724,42.4724,0.52
1,11,144,10,22.51,24.2,1.69,8.9,-2.2478,-2.2478,-2.2478,43.0193,43.0193,43.0193,0.53
1,11,145,10,22.5,24.22,1.72,8.82,-2.3513,-2.3513,-2.3513,43.5669,43.5669,43.5669,0.55
1,11,146,10,22.5,24.24,1.74,8.75,-2.4337,-2.4337,-2.4337,43.9441,43.9441,43.9441,0.56
1,11,147,10,22.49,24.26,1.77,8.69,-2.533,-2.533,-2.533,44.4933,44.4933,44.4933,0.57
1,11,148,10,22.48,24.29,1.81,8.62,-2.6651,-2.6651,-2.6651,45.2329,45.2329,45.2329,0.59
