recId,driverId,rmse,error_percent,T,a,b,v0
1,1008,1.527492667627467,0.7602475638380601,0.521,0.688,4.432,41.667
1,1012,15.009712350517672,7.758952726139551,0.5,5.0,5.0,41.667
1,1029,7.884844509397527,4.035181685733213,0.5,5.0,5.0,39.0
1,1035,4.136060402588446,2.055865156863773,0.511,4.87,0.753,41.667
2,12,75.39918572971179,36.677509271299265,4.381,0.1,0.44,39.278
2,22,1.6713983647823596,0.824446673870141,0.613,0.236,4.49,29.43
2,24,50.589652403706175,24.46648830062355,0.5,5.0,2.996,41.667
2,51,0.4276178111456782,0.20793052066756726,0.745,2.252,4.98,33.356
2,62,0.5940507882547336,0.290366501830437,0.518,0.13,2.799,40.157
2,75,1.9498229051258769,0.9586176360353406,0.5,0.231,5.0,40.041
2,76,2.039514777557166,1.0040837375414124,3.537,2.141,0.986,31.919
2,89,12.218037073145403,5.855857084087459,2.0,0.1,0.179,41.226
2,101,5.335139352901886,2.575580487390129,5.0,1.415,0.1,39.157
2,107,0.7407483831619163,0.3592793345231247,2.097,0.1,0.644,26.938
2,113,16.104130255634924,8.008617081055826,0.5,1.242,5.0,40.214
2,136,25.00826175650166,11.856060698477249,0.5,5.0,5.0,41.667
2,149,4.912861074234449,2.4149980957648625,3.88,4.242,3.847,41.667
2,155,29.248711057782618,14.228898477047718,0.5,0.1,5.0,41.667
2,187,52.19291586622909,25.89238765577909,5.0,0.274,0.1,39.731
2,241,1.134505020659765,0.5581875739085145,0.758,0.661,5.0,39.617
2,243,14.329319406139957,6.914305242321487,4.755,1.936,5.0,40.897
2,244,1.1006574640821165,0.5361334039106083,0.789,2.168,0.441,41.667
2,251,6.012840419382323,2.919163057647872,3.003,4.578,4.507,36.653
2,256,8.476044002130413,4.135080496891145,3.74,1.224,1.359,41.667
2,273,2.862345019425362,1.4096595796543148,0.86,0.599,2.289,35.121
2,279,1.5976355636556316,0.778235996858624,3.379,3.524,3.084,41.667
2,290,12.191978437723074,5.881575793696591,0.5,3.867,5.0,34.71
2,294,42.01866741359485,20.65495470614107,0.5,0.1,5.0,41.667
2,303,18.14825663191817,9.321005822506388,2.233,5.0,4.932,41.667
2,319,10.126522386779666,5.112553782129925,5.0,0.32,0.1,31.27
2,325,18.788458080635372,9.19475958345598,2.566,0.258,0.148,41.653
2,338,0.2288158268447024,0.11215318752866363,1.508,0.367,4.995,36.999
2,340,1.1432954264483928,0.559227872862432,0.5,0.1,5.0,25.788
2,342,3.754991106601768,1.8490113264162902,0.519,1.733,5.0,28.366
2,360,7.248976902398745,3.604138886143556,0.503,1.506,0.1,39.865
2,376,0.7017392824703582,0.34539181048252204,0.5,0.245,4.615,31.639
2,387,0.14239220648356507,0.07049308409309055,0.5,0.1,5.0,34.426
2,395,3.4768398039063433,1.7085328021264516,0.9,3.222,4.804,35.341
2,409,1.9462173868745498,0.9588450870570698,4.582,4.994,3.169,25.236
2,448,3.751719566711796,1.838357325771428,0.531,3.367,3.367,30.876
2,454,0.5016912935367971,0.24919551039052074,0.997,0.373,5.0,40.938
2,456,36.805296591045014,18.556636951919614,0.5,0.1,5.0,42.021
2,469,6.446632854022012,3.225998380292761,1.447,0.1,4.977,30.783
2,480,0.3880364950467186,0.19361298190220963,1.599,0.304,1.198,35.05
2,483,47.6601169387512,23.447953716682967,3.745,0.1,2.971,41.667
2,486,0.743796527789286,0.3633636210708679,0.5,0.332,5.0,41.667
2,499,0.2940427742599248,0.1481845600227161,1.159,1.102,3.257,39.189
2,503,13.67216632075539,6.797156173792549,0.5,0.1,5.0,41.667
2,507,3.7204724908038918,1.842477858084988,1.611,0.297,0.396,38.58
2,517,4.238236281563581,2.0857411666667063,4.42,4.986,0.521,41.667
2,536,3.759694930983172,1.8870365192421032,0.693,4.966,1.552,36.785
2,537,22.382868424308214,11.02346617138178,1.825,3.396,2.49,41.667
2,553,0.25374425583135835,0.1222717426794211,1.096,2.607,4.845,40.673
2,567,26.14784164913732,12.724878568572258,5.0,5.0,5.0,32.18
2,569,16.682488397382933,8.251677932467208,1.357,3.856,5.0,41.667
2,570,1.4922040153003984,0.7530575695817264,0.803,1.143,1.872,41.21
2,616,61.2774073002802,30.08653550349417,0.5,5.0,4.439,41.667
2,640,30.024916945937616,14.678578285812415,2.634,1.483,1.78,36.601
2,643,87.66152437147622,43.93504881276888,3.341,5.0,5.0,41.667
2,644,35.16575894887742,17.73840990559323,0.5,0.1,2.408,41.667
2,651,11.085426750072989,5.442349358015977,0.503,1.825,5.0,41.494
2,662,3.977522949473612,1.9656458989371757,3.798,1.986,4.015,41.667
2,665,68.49956319479234,34.073102300417936,0.5,5.0,5.0,41.667
2,668,0.9681104210227848,0.48826143177125314,2.0,1.631,1.733,30.36
2,670,0.9805957201868859,0.48708430337704184,1.749,4.444,3.721,28.864
2,701,35.33815238371337,18.019527777254428,0.5,1.656,0.955,41.667
2,708,11.47573208521963,5.635054158118225,3.934,4.347,0.512,41.667
2,720,31.343863244525764,15.556254018869875,0.5,5.0,5.0,41.667
2,745,3.2424956860491263,1.672927086239131,0.506,4.08,5.0,35.783
2,763,11.067884614460178,5.436691564262509,2.121,5.0,0.161,41.667
2,802,37.19601879869809,18.36812197083977,0.5,0.1,5.0,41.667
2,806,25.055694203768653,12.30054431128248,5.0,4.662,2.477,38.807
2,814,4.950936300543322,2.448116480339742,4.974,0.118,0.101,34.473
2,815,24.200902772661287,11.91834519565531,2.464,0.1,0.824,41.667
2,826,0.33305801966337,0.16506020877176342,0.5,0.129,4.68,41.801
2,832,71.00070190501019,35.221541007898765,2.632,0.1,0.212,32.794
2,843,15.555363822485212,7.723812805318953,0.78,0.1,5.0,44.026
2,846,43.44210244635153,21.46632211219013,0.5,5.0,5.0,41.667
2,847,115.43794929885759,57.58048542575472,5.0,0.768,0.1,38.019
2,878,0.5456461113132287,0.26930972985504653,0.548,0.346,4.972,39.362
2,881,16.09482056138232,7.913276233330921,5.0,0.417,0.463,28.88
2,888,5.399802465592098,2.6957050971914844,0.599,5.0,5.0,40.327
2,896,36.683896529826335,18.540443578966002,0.5,0.1,4.2,41.667
